,Clouds,Humidity,Latitude,Temperature,Wind_Speed
0,8,100,-23.12,73.57,10.42
1,20,56,19.71,72.12,8.05
2,75,77,33.93,56.3,13.87
3,75,66,-53.16,48.2,11.41
4,0,62,-46.19,63.85,9.08
5,20,73,-54.81,44.6,25.28
6,0,100,-9.8,81.13,16.69
7,64,100,77.48,7.69,2.82
8,24,93,10.57,87.34,7.85
9,0,80,49.16,31.45,2.37
10,92,94,-31.68,55.03,3.6
11,90,95,33.19,47.59,5.82
12,75,70,4.26,86.0,2.24
13,8,100,3.07,85.63,10.98
14,40,86,41.28,37.54,13.56
15,0,36,-13.55,63.9,11.43
16,0,29,-23.58,88.24,10.65
17,32,91,-34.42,53.19,4.05
18,44,72,69.22,15.8,9.17
19,75,93,-2.2,62.6,6.93
20,75,88,13.22,80.6,17.22
21,90,81,41.47,31.6,5.82
22,20,77,36.06,64.4,6.93
23,80,95,38.52,68.26,25.08
24,0,78,25.6,56.38,1.92
25,75,22,-42.88,78.8,16.11
26,88,88,6.8,79.15,7.07
27,48,95,-33.64,65.65,9.64
28,90,93,59.37,39.2,12.75
29,80,75,-37.83,69.88,6.62
30,0,81,39.45,48.2,3.27
31,92,91,35.92,22.27,0.69
32,90,43,42.65,41.22,10.29
33,75,100,3.63,77.0,2.24
34,0,24,-30.97,60.25,7.74
35,0,100,69.7,-4.55,4.05
36,5,93,13.97,66.2,2.24
37,40,77,63.75,5.0,3.36
38,0,72,-46.28,63.04,7.18
39,20,54,22.08,81.12,14.99
40,92,90,42.84,30.55,4.72
41,92,50,-31.97,76.99,9.64
42,20,79,9.54,86.0,5.82
43,90,100,54.52,35.6,3.36
44,0,38,15.34,73.3,4.72
45,90,93,44.83,51.8,2.24
46,20,45,16.42,66.91,4.38
47,0,79,-46.13,58.59,8.97
48,40,84,69.44,-2.21,12.75
49,75,72,-33.93,62.6,13.87
50,8,59,-8.93,85.05,1.25
51,44,69,71.98,-15.35,9.64
52,12,82,-34.53,60.8,4.7
53,100,43,-33.21,75.28,8.19
54,76,65,-35.17,66.91,13.89
55,75,77,45.36,31.8,3.71
56,56,100,-0.74,71.64,15.01
57,0,70,22.93,62.14,3.49
58,90,100,60.79,24.08,18.34
59,32,99,-6.48,68.4,0.58
60,20,83,-22.97,73.4,13.87
61,90,100,41.53,46.4,4.7
62,76,86,21.32,70.92,2.26
63,0,85,-33.59,68.85,5.95
64,88,87,52.47,48.45,11.41
65,90,80,64.86,24.8,4.94
66,92,91,-5.2,78.34,11.77
67,64,90,-20.63,65.92,6.73
68,100,100,-19.55,70.15,29.44
69,92,93,67.68,36.67,22.95
70,0,87,8.53,44.68,5.39
71,92,100,53.59,37.17,12.66
72,90,83,59.64,47.89,13.87
73,20,56,17.01,71.6,4.7
74,40,88,-20.34,75.2,8.05
75,90,85,58.52,21.2,5.06
76,0,55,-38.95,64.4,6.93
77,75,64,32.3,71.6,14.99
78,40,62,64.42,24.8,22.37
79,90,94,59.7,33.8,8.95
80,0,80,8.96,35.37,2.71
81,0,65,-3.38,84.01,6.4
82,76,28,20.2,62.41,3.49
83,40,62,-12.18,87.8,16.11
84,1,57,45.52,44.17,4.7
85,0,62,11.04,60.07,2.82
86,20,83,-12.98,80.6,10.29
87,0,92,8.41,61.29,3.04
88,0,73,25.38,72.22,2.71
89,0,87,38.18,58.1,6.93
90,36,100,12.22,80.37,10.98
91,76,88,-28.95,66.91,5.73
92,92,100,7.64,74.02,3.04
93,88,100,-17.73,74.7,12.66
94,0,91,-33.02,70.6,26.87
95,0,100,66.15,0.58,5.73
96,76,81,-23.13,78.61,6.96
97,90,100,37.47,53.6,0.47
98,92,100,65.61,32.0,9.17
99,0,83,-30.26,73.4,10.29
100,44,55,70.62,-10.54,13.44
101,1,61,36.62,58.05,3.36
102,88,87,58.36,17.95,10.54
103,92,96,-38.31,67.95,7.29
104,48,100,63.05,20.38,21.94
105,68,87,-6.22,84.82,5.28
106,90,92,39.31,45.43,9.17
107,92,100,-38.72,59.85,15.68
108,0,73,-29.69,77.0,4.7
109,90,100,62.78,33.8,12.75
110,20,93,52.18,44.69,8.05
111,5,32,27.52,69.8,9.17
112,56,87,60.14,36.31,36.37
113,40,60,20.89,79.11,17.22
114,40,88,-20.41,75.2,8.05
115,0,42,17.33,71.32,7.96
116,8,100,9.49,79.2,10.98
117,68,93,-38.55,66.46,15.23
118,75,69,-2.03,78.8,14.99
119,0,44,25.95,71.86,4.38
120,90,62,39.95,24.98,18.34
121,88,98,-14.07,51.43,1.81
122,88,100,70.03,38.65,5.61
123,75,22,-42.78,78.8,16.11
124,80,100,-14.27,75.73,15.46
125,20,62,17.54,86.0,2.24
126,0,23,13.6,58.54,10.42
127,0,36,22.68,55.44,2.71
128,90,80,30.3,36.3,18.34
129,40,88,-20.21,75.2,8.05
130,90,66,40.48,48.2,13.87
131,0,72,-13.3,60.8,16.11
132,0,29,-22.0,88.6,14.79
133,44,67,-37.02,66.19,3.71
134,36,90,-34.0,62.59,16.8
135,68,82,52.25,13.5,12.1
136,68,71,69.3,-3.02,2.59
137,92,96,-40.81,54.85,7.96
138,76,89,-33.69,70.51,23.06
139,0,96,-42.48,44.5,2.59
140,8,81,14.07,82.35,2.37
141,56,81,60.42,16.29,3.6
142,0,61,-3.92,76.95,4.83
143,92,86,62.16,41.0,4.5
144,0,70,57.27,16.74,9.86
145,0,100,69.38,10.12,11.21
146,75,100,45.62,32.0,17.22
147,48,88,-14.74,74.7,7.74
148,75,62,-32.75,57.2,9.17
149,68,58,70.0,5.53,4.16
150,80,100,73.51,0.04,42.41
151,90,92,40.57,37.83,4.7
152,75,78,62.45,10.4,13.87
153,36,72,53.13,24.12,2.93
